word,korean_meaning,selected_pos,selected_meaning,english_definition,example_sentence,example_translation,topic_group,assigned_topic,skipped_topics,skip_reason,image_prompt,video_prompt,safety_replaced,quality_status,generation_status,retry_count,failure_reason,manual_review
chore,집안일,명사,집안에서 해야 하는 일,a small job you do at home,I do my chore after school.,나는放学 후에 집안일을 한다.,관심사,게임,,,"cartoon style, bright colors, game scene, illustrate: I do my chore after school., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'I do my chore after school.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
laundry,세탁,명사,세탁할 옷이나 세탁 행위,clothes that need to be washed,Mom folds the laundry on Sunday.,엄마는 일요일에 세탁물을 개신다.,학습,초등학교 6 학년 사회,,,"cartoon style, classroom, social studies, illustrate: Mom folds the laundry on Sunday., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'Mom folds the laundry on Sunday.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
flavor,맛,명사,음식의 고유한 맛,the taste of food or drink,This ice cream has a strawberry flavor.,이 아이스크림은 딸기 맛이 난다.,관심사,코딩,,,"cartoon style, computer screen, coding interface, illustrate: This ice cream has a strawberry flavor., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'This ice cream has a strawberry flavor.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
recipe,요리법,명사,요리를 만드는 방법,instructions for making food,Grandma wrote the recipe on a card.,할머니는 요리법을 카드에 적으셨다.,학습,초등학교 6 학년 과학,,,"cartoon style, laboratory, science experiment, illustrate: Grandma wrote the recipe on a card., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'Grandma wrote the recipe on a card.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
beverage,음료,명사,마시는 것,something you drink,Water is a healthy beverage.,물은 건강한 음료이다.,관심사,인공지능,,,"cartoon style, robot, futuristic, illustrate: Water is a healthy beverage., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'Water is a healthy beverage.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
operate,조작하다,동사,기계나 장치를 작동시키다,to make a machine work,Can you operate this machine?,이 기계를 조작할 수 있나요?,학습,초등학교 6 학년 사회,,,"cartoon style, classroom, social studies, illustrate: Can you operate this machine?, safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'Can you operate this machine?', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
edible,먹을 수 있는,형용사,안전하게 먹을 수 있는,safe to eat,These berries are edible.,이 열매들은 먹을 수 있다.,관심사,소설 쓰기,,,"cartoon style, writing desk, notebook, illustrate: These berries are edible., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'These berries are edible.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
shelf,선반,명사,물건을 올려두는 평평한 판,a flat board for holding things,Put the book on the shelf.,책을 선반에 올려놓아라.,학습,초등학교 6 학년 과학,,,"cartoon style, laboratory, science experiment, illustrate: Put the book on the shelf., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'Put the book on the shelf.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
quite,꽤,부사,상당히,fairly or rather,The test was quite easy.,시험은 꽤 쉬웠다.,관심사,음악,,,"cartoon style, musical instruments, stage, illustrate: The test was quite easy., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'The test was quite easy.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
quiet,조용한,형용사,소음이 없는,making no noise,Please be quiet in the library.,도서관에서는 조용히 해주세요.,학습,초등학교 6 학년 사회,,,"cartoon style, classroom, social studies, illustrate: Please be quiet in the library., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'Please be quiet in the library.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
sweep,쓸다,동사,빗자루로 청소하다,to clean with a broom,I sweep the floor every morning.,나는 매일 아침 바닥을 쓴다.,관심사,스포츠,,,"cartoon style, sports field, active pose, illustrate: I sweep the floor every morning., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'I sweep the floor every morning.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
glance,흘끗 보다,동사,짧게 보다,to look quickly,Take a glance at the clock.,시계를 흘끗 봐라.,학습,초등학교 6 학년 과학,,,"cartoon style, laboratory, science experiment, illustrate: Take a glance at the clock., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'Take a glance at the clock.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
match,일치하다,동사,서로 같다 또는 어울리다,to be the same or go together,Your socks match your shirt.,네 양말이 셔츠와 어울린다.,관심사,게임,,,"cartoon style, bright colors, game scene, illustrate: Your socks match your shirt., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'Your socks match your shirt.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
furniture,가구,명사,집에 놓는 가구들,things like chairs and tables,We bought new furniture.,우리는 새 가구를 샀다.,학습,초등학교 6 학년 사회,,,"cartoon style, classroom, social studies, illustrate: We bought new furniture., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'We bought new furniture.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
manual,설명서,명사,사용 방법 안내서,a book that tells how to use something,Read the manual first.,먼저 설명서를 읽어라.,관심사,코딩,,,"cartoon style, computer screen, coding interface, illustrate: Read the manual first., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'Read the manual first.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
value,가치,명사,중요성 또는 가치,how important something is,Honesty has great value.,정직은 큰 가치가 있다.,학습,초등학교 6 학년 과학,,,"cartoon style, laboratory, science experiment, illustrate: Honesty has great value., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'Honesty has great value.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
pot,냄비,명사,요리용 용기,a container for cooking,Cook soup in a pot.,냄비에 수프를 요리해라.,관심사,인공지능,,,"cartoon style, robot, futuristic, illustrate: Cook soup in a pot., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'Cook soup in a pot.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
grocery,식료품,명사,식품과 생활용품,food and supplies from a store,Dad carries the grocery bags.,아빠가 식료품 가방을 나른다.,학습,초등학교 6 학년 사회,,,"cartoon style, classroom, social studies, illustrate: Dad carries the grocery bags., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'Dad carries the grocery bags.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
striped,줄무늬가 있는,형용사,줄무늬가 있는,having lines of color,She wears a striped shirt.,그녀는 줄무늬 셔츠를 입는다.,관심사,소설 쓰기,,,"cartoon style, writing desk, notebook, illustrate: She wears a striped shirt., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'She wears a striped shirt.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
mind,뜻을 확인해야 함,명사,뜻을 확인해야 함,a 명사 related to 뜻을 확인해야 함,The mind is important.,mind(은) 는 중요하다.,학습,초등학교 6 학년 과학,,,"cartoon style, laboratory, science experiment, illustrate: The mind is important., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'The mind is important.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
receipt,뜻을 확인해야 함,명사,뜻을 확인해야 함,a 명사 related to 뜻을 확인해야 함,The receipt is important.,receipt(은) 는 중요하다.,관심사,음악,,,"cartoon style, musical instruments, stage, illustrate: The receipt is important., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'The receipt is important.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
bitter,뜻을 확인해야 함,명사,뜻을 확인해야 함,a 명사 related to 뜻을 확인해야 함,The bitter is important.,bitter(은) 는 중요하다.,학습,초등학교 6 학년 사회,,,"cartoon style, classroom, social studies, illustrate: The bitter is important., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'The bitter is important.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
appearance,뜻을 확인해야 함,명사,뜻을 확인해야 함,a 명사 related to 뜻을 확인해야 함,The appearance is important.,appearance(은) 는 중요하다.,관심사,스포츠,,,"cartoon style, sports field, active pose, illustrate: The appearance is important., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'The appearance is important.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
iron,뜻을 확인해야 함,명사,뜻을 확인해야 함,a 명사 related to 뜻을 확인해야 함,The iron is important.,iron(은) 는 중요하다.,학습,초등학교 6 학년 과학,,,"cartoon style, laboratory, science experiment, illustrate: The iron is important., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'The iron is important.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
palm,뜻을 확인해야 함,명사,뜻을 확인해야 함,a 명사 related to 뜻을 확인해야 함,The palm is important.,palm(은) 는 중요하다.,관심사,게임,,,"cartoon style, bright colors, game scene, illustrate: The palm is important., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'The palm is important.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
fancy,뜻을 확인해야 함,명사,뜻을 확인해야 함,a 명사 related to 뜻을 확인해야 함,The fancy is important.,fancy(은) 는 중요하다.,학습,초등학교 6 학년 사회,,,"cartoon style, classroom, social studies, illustrate: The fancy is important., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'The fancy is important.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
soak,뜻을 확인해야 함,명사,뜻을 확인해야 함,a 명사 related to 뜻을 확인해야 함,The soak is important.,soak(은) 는 중요하다.,관심사,코딩,,,"cartoon style, computer screen, coding interface, illustrate: The soak is important., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'The soak is important.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
appeal,뜻을 확인해야 함,명사,뜻을 확인해야 함,a 명사 related to 뜻을 확인해야 함,The appeal is important.,appeal(은) 는 중요하다.,학습,초등학교 6 학년 과학,,,"cartoon style, laboratory, science experiment, illustrate: The appeal is important., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'The appeal is important.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
compare,뜻을 확인해야 함,명사,뜻을 확인해야 함,a 명사 related to 뜻을 확인해야 함,The compare is important.,compare(은) 는 중요하다.,관심사,인공지능,,,"cartoon style, robot, futuristic, illustrate: The compare is important., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'The compare is important.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
compel,뜻을 확인해야 함,명사,뜻을 확인해야 함,a 명사 related to 뜻을 확인해야 함,The compel is important.,compel(은) 는 중요하다.,학습,초등학교 6 학년 사회,,,"cartoon style, classroom, social studies, illustrate: The compel is important., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'The compel is important.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
browse,뜻을 확인해야 함,명사,뜻을 확인해야 함,a 명사 related to 뜻을 확인해야 함,The browse is important.,browse(은) 는 중요하다.,관심사,소설 쓰기,,,"cartoon style, writing desk, notebook, illustrate: The browse is important., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'The browse is important.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
appetite,뜻을 확인해야 함,명사,뜻을 확인해야 함,a 명사 related to 뜻을 확인해야 함,The appetite is important.,appetite(은) 는 중요하다.,학습,초등학교 6 학년 과학,,,"cartoon style, laboratory, science experiment, illustrate: The appetite is important., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'The appetite is important.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
attach,뜻을 확인해야 함,명사,뜻을 확인해야 함,a 명사 related to 뜻을 확인해야 함,The attach is important.,attach(은) 는 중요하다.,관심사,음악,,,"cartoon style, musical instruments, stage, illustrate: The attach is important., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'The attach is important.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
shut,뜻을 확인해야 함,명사,뜻을 확인해야 함,a 명사 related to 뜻을 확인해야 함,The shut is important.,shut(은) 는 중요하다.,학습,초등학교 6 학년 사회,,,"cartoon style, classroom, social studies, illustrate: The shut is important., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'The shut is important.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
tender,뜻을 확인해야 함,명사,뜻을 확인해야 함,a 명사 related to 뜻을 확인해야 함,The tender is important.,tender(은) 는 중요하다.,관심사,스포츠,,,"cartoon style, sports field, active pose, illustrate: The tender is important., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'The tender is important.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
pour,뜻을 확인해야 함,명사,뜻을 확인해야 함,a 명사 related to 뜻을 확인해야 함,The pour is important.,pour(은) 는 중요하다.,학습,초등학교 6 학년 과학,,,"cartoon style, laboratory, science experiment, illustrate: The pour is important., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'The pour is important.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
lean,뜻을 확인해야 함,명사,뜻을 확인해야 함,a 명사 related to 뜻을 확인해야 함,The lean is important.,lean(은) 는 중요하다.,관심사,게임,,,"cartoon style, bright colors, game scene, illustrate: The lean is important., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'The lean is important.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
temporary,뜻을 확인해야 함,명사,뜻을 확인해야 함,a 명사 related to 뜻을 확인해야 함,The temporary is important.,temporary(은) 는 중요하다.,학습,초등학교 6 학년 사회,,,"cartoon style, classroom, social studies, illustrate: The temporary is important., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'The temporary is important.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
cottage,뜻을 확인해야 함,명사,뜻을 확인해야 함,a 명사 related to 뜻을 확인해야 함,The cottage is important.,cottage(은) 는 중요하다.,관심사,코딩,,,"cartoon style, computer screen, coding interface, illustrate: The cottage is important., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'The cottage is important.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
minute,뜻을 확인해야 함,명사,뜻을 확인해야 함,a 명사 related to 뜻을 확인해야 함,The minute is important.,minute(은) 는 중요하다.,학습,초등학교 6 학년 과학,,,"cartoon style, laboratory, science experiment, illustrate: The minute is important., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'The minute is important.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
active,뜻을 확인해야 함,명사,뜻을 확인해야 함,a 명사 related to 뜻을 확인해야 함,The active is important.,active(은) 는 중요하다.,관심사,인공지능,,,"cartoon style, robot, futuristic, illustrate: The active is important., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'The active is important.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
excellent,뜻을 확인해야 함,명사,뜻을 확인해야 함,a 명사 related to 뜻을 확인해야 함,The excellent is important.,excellent(은) 는 중요하다.,학습,초등학교 6 학년 사회,,,"cartoon style, classroom, social studies, illustrate: The excellent is important., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'The excellent is important.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
