DAY,no.,단어
DAY 01,1,chore
DAY 01,2,laundry
DAY 01,3,flavor
DAY 01,4,recipe
DAY 01,5,beverage
DAY 01,6,operate
DAY 01,7,edible
DAY 01,8,shelf
DAY 01,9,quite
DAY 01,10,quiet
DAY 01,11,sweep
DAY 01,12,glance
DAY 01,13,match
DAY 01,14,furniture
DAY 01,15,manual
DAY 01,16,value
DAY 01,17,pot
DAY 01,18,grocery
DAY 01,19,striped
DAY 01,20,mind
DAY 01,21,receipt
DAY 01,22,bitter
DAY 01,23,appearance
DAY 01,24,iron
DAY 01,25,palm
DAY 01,26,fancy
DAY 01,27,soak
DAY 01,28,appeal
DAY 01,29,compare
DAY 01,30,compel
DAY 01,31,browse
DAY 01,32,appetite
DAY 01,33,attach
DAY 01,34,shut
DAY 01,35,tender
DAY 01,36,pour
DAY 01,37,lean
DAY 01,38,temporary
DAY 01,39,cottage
DAY 01,40,minute
DAY 02,1,active
DAY 02,2,excellent
DAY 02,3,lecture
DAY 02,4,academic
DAY 02,5,encourage
DAY 02,6,debate
DAY 02,7,president
DAY 02,8,assignment
DAY 02,9,principal
DAY 02,10,principle
DAY 02,11,graduate
DAY 02,12,sense
DAY 02,13,real
DAY 02,14,annual
DAY 02,15,collect
DAY 02,16,deadline
DAY 02,17,confident
DAY 02,18,include
DAY 02,19,shout
DAY 02,20,subject
DAY 02,21,participate
DAY 02,22,auditorium
DAY 02,23,inform
DAY 02,24,duty
DAY 02,25,evaluate
DAY 02,26,minimum
DAY 02,27,introduction
DAY 02,28,photograph
DAY 02,29,council
DAY 02,30,conceal
DAY 02,31,session
DAY 02,32,strict
DAY 02,33,twist
DAY 02,34,spill
DAY 02,35,union
DAY 02,36,maximum
DAY 02,37,semester
DAY 02,38,ceiling
DAY 02,39,stationery
DAY 02,40,term
DAY 03,1,journey
DAY 03,2,theater
DAY 03,3,fee
DAY 03,4,prepare
DAY 03,5,surprised
DAY 03,6,receive
DAY 03,7,nervous
DAY 03,8,stage
DAY 03,9,vacation
DAY 03,10,vocation
DAY 03,11,pack
DAY 03,12,host
DAY 03,13,private
DAY 03,14,craft
DAY 03,15,post
DAY 03,16,relieve
DAY 03,17,practice
DAY 03,18,souvenir
DAY 03,19,decorate
DAY 03,20,book
DAY 03,21,reserve
DAY 03,22,wrap
DAY 03,23,occasion
DAY 03,24,allow
DAY 03,25,ensure
DAY 03,26,agent
DAY 03,27,argue
DAY 03,28,confirm
DAY 03,29,wonder
DAY 03,30,wander
DAY 03,31,capital
DAY 03,32,absolute
DAY 03,33,anticipate
DAY 03,34,leisure
DAY 03,35,undergo
DAY 03,36,spare
DAY 03,37,aquarium
DAY 03,38,applaud
DAY 03,39,insurance
DAY 03,40,return
DAY 04,1,career
DAY 04,2,skill
DAY 04,3,task
DAY 04,4,tend
DAY 04,5,position
DAY 04,6,hire
DAY 04,7,quit
DAY 04,8,proud
DAY 04,9,labor
DAY 04,10,label
DAY 04,11,familiar
DAY 04,12,spread
DAY 04,13,divide
DAY 04,14,retire
DAY 04,15,vision
DAY 04,16,obstacle
DAY 04,17,contrary
DAY 04,18,arrange
DAY 04,19,attempt
DAY 04,20,board
DAY 04,21,presentation
DAY 04,22,accomplish
DAY 04,23,convince
DAY 04,24,audience
DAY 04,25,wage
DAY 04,26,previous
DAY 04,27,spend
DAY 04,28,distinguish
DAY 04,29,former
DAY 04,30,formal
DAY 04,31,envious
DAY 04,32,vice
DAY 04,33,architect
DAY 04,34,relevant
DAY 04,35,enthusiasm
DAY 04,36,desirable
DAY 04,37,dismiss
DAY 04,38,competent
DAY 04,39,memorize
DAY 04,40,fix
DAY 05,1,muscle
DAY 05,2,regular
DAY 05,3,stretch
DAY 05,4,reduce
DAY 05,5,opponent
DAY 05,6,recommend
DAY 05,7,warn
DAY 05,8,cause
DAY 05,9,lose
DAY 05,10,loose
DAY 05,11,rather
DAY 05,12,straight
DAY 05,13,meanwhile
DAY 05,14,continuous
DAY 05,15,ordinary
DAY 05,16,relationship
DAY 05,17,throat
DAY 05,18,encounter
DAY 05,19,disturb
DAY 05,20,lead
DAY 05,21,capable
DAY 05,22,proper
DAY 05,23,frequent
DAY 05,24,symptom
DAY 05,25,monitor
DAY 05,26,consume
DAY 05,27,struggle
DAY 05,28,strengthen
DAY 05,29,slide
DAY 05,30,slice
DAY 05,31,sufficient
DAY 05,32,fulfill
DAY 05,33,suggest
DAY 05,34,fatigue
DAY 05,35,intake
DAY 05,36,pace
DAY 05,37,disorder
DAY 05,38,flexible
DAY 05,39,supplement
DAY 05,40,physical
DAY 06,1,relax
DAY 06,2,grateful
DAY 06,3,complain
DAY 06,4,delighted
DAY 06,5,express
DAY 06,6,reward
DAY 06,7,frustrated
DAY 06,8,recognize
DAY 06,9,temper
DAY 06,10,temple
DAY 06,11,object
DAY 06,12,disappointed
DAY 06,13,anxious
DAY 06,14,insist
DAY 06,15,sudden
DAY 06,16,immediate
DAY 06,17,appreciate
DAY 06,18,pale
DAY 06,19,purpose
DAY 06,20,race
DAY 06,21,discouraged
DAY 06,22,stare
DAY 06,23,burst
DAY 06,24,miserable
DAY 06,25,embarrassed
DAY 06,26,hardly
DAY 06,27,panic
DAY 06,28,correspond
DAY 06,29,cruel
DAY 06,30,crucial
DAY 06,31,isolated
DAY 06,32,awkward
DAY 06,33,sympathy
DAY 06,34,terrifying
DAY 06,35,optimistic
DAY 06,36,sincere
DAY 06,37,likely
DAY 06,38,endure
DAY 06,39,cognitive
DAY 06,40,reflect
DAY 07,1,similar
DAY 07,2,situation
DAY 07,3,related
DAY 07,4,suppose
DAY 07,5,social
DAY 07,6,unique
DAY 07,7,prefer
DAY 07,8,remain
DAY 07,9,distract
DAY 07,10,district
DAY 07,11,apologize
DAY 07,12,refer
DAY 07,13,colleague
DAY 07,14,rely
DAY 07,15,mistake
DAY 07,16,request
DAY 07,17,assume
DAY 07,18,refuse
DAY 07,19,reply
DAY 07,20,degree
DAY 07,21,capacity
DAY 07,22,passion
DAY 07,23,surround
DAY 07,24,indeed
DAY 07,25,imitate
DAY 07,26,bond
DAY 07,27,obtain
DAY 07,28,precious
DAY 07,29,contribute
DAY 07,30,distribute
DAY 07,31,reject
DAY 07,32,gaze
DAY 07,33,cherish
DAY 07,34,hospitality
DAY 07,35,uncover
DAY 07,36,casual
DAY 07,37,mutual
DAY 07,38,farewell
DAY 07,39,owe
DAY 07,40,treat
DAY 08,1,comment
DAY 08,2,popular
DAY 08,3,develop
DAY 08,4,moment
DAY 08,5,public
DAY 08,6,promise
DAY 08,7,select
DAY 08,8,pleasure
DAY 08,9,involve
DAY 08,10,evolve
DAY 08,11,range
DAY 08,12,stuff
DAY 08,13,journal
DAY 08,14,describe
DAY 08,15,otherwise
DAY 08,16,share
DAY 08,17,jealous
DAY 08,18,translate
DAY 08,19,nod
DAY 08,20,mean
DAY 08,21,conclude
DAY 08,22,intend
DAY 08,23,worth
DAY 08,24,outcome
DAY 08,25,honor
DAY 08,26,internal
DAY 08,27,verbal
DAY 08,28,besides
DAY 08,29,cure
DAY 08,30,core
DAY 08,31,strike
DAY 08,32,channel
DAY 08,33,gratitude
DAY 08,34,metaphor
DAY 08,35,interpret
DAY 08,36,insult
DAY 08,37,weird
DAY 08,38,random
DAY 08,39,remark
DAY 08,40,sentence
DAY 09,1,just
DAY 09,2,moral
DAY 09,3,peer
DAY 09,4,achieve
DAY 09,5,path
DAY 09,6,necessary
DAY 09,7,selfish
DAY 09,8,penalty
DAY 09,9,adopt
DAY 09,10,adapt
DAY 09,11,pause
DAY 09,12,incentive
DAY 09,13,sacrifice
DAY 09,14,generous
DAY 09,15,appropriate
DAY 09,16,chase
DAY 09,17,deserve
DAY 09,18,pretend
DAY 09,19,neglect
DAY 09,20,lie
DAY 09,21,devote
DAY 09,22,admit
DAY 09,23,gender
DAY 09,24,permit
DAY 09,25,spouse
DAY 09,26,ultimate
DAY 09,27,cheat
DAY 09,28,extraordinary
DAY 09,29,ethnic
DAY 09,30,ethical
DAY 09,31,fundamental
DAY 09,32,modify
DAY 09,33,instinct
DAY 09,34,volunteer
DAY 09,35,conscious
DAY 09,36,tempt
DAY 09,37,humble
DAY 09,38,ashamed
DAY 09,39,prejudice
DAY 09,40,order
DAY 10,1,welfare
DAY 10,2,victim
DAY 10,3,population
DAY 10,4,neighbor
DAY 10,5,ignore
DAY 10,6,donate
DAY 10,7,serious
DAY 10,8,fund
DAY 10,9,personal
DAY 10,10,personnel
DAY 10,11,half
DAY 10,12,concern
DAY 10,13,rescue
DAY 10,14,critic
DAY 10,15,charity
DAY 10,16,rage
DAY 10,17,afford
DAY 10,18,unite
DAY 10,19,orphan
DAY 10,20,bear
DAY 10,21,abandon
DAY 10,22,crash
DAY 10,23,promote
DAY 10,24,decade
DAY 10,25,establish
DAY 10,26,burden
DAY 10,27,assist
DAY 10,28,resolve
DAY 10,29,detect
DAY 10,30,defeat
DAY 10,31,capture
DAY 10,32,perspective
DAY 10,33,desperate
DAY 10,34,apparent
DAY 10,35,contradict
DAY 10,36,aggressive
DAY 10,37,companion
DAY 10,38,compromise
DAY 10,39,commitment
DAY 10,40,stock
DAY 11,1,publish
DAY 11,2,literature
DAY 11,3,fiction
DAY 11,4,author
DAY 11,5,symbol
DAY 11,6,plot
DAY 11,7,collaborate
DAY 11,8,statue
DAY 11,9,state
DAY 11,10,status
DAY 11,11,fit
DAY 11,12,movement
DAY 11,13,brilliant
DAY 11,14,prior
DAY 11,15,outline
DAY 11,16,sort
DAY 11,17,portrait
DAY 11,18,tale
DAY 11,19,add
DAY 11,20,volume
DAY 11,21,wisdom
DAY 11,22,impressed
DAY 11,23,emphasize
DAY 11,24,bold
DAY 11,25,admire
DAY 11,26,vivid
DAY 11,27,multiple
DAY 11,28,profound
DAY 11,29,terrible
DAY 11,30,terrific
